Município;Código;Gentílico;Prefeito2021;ÁreaTerritorialkm2_2022;PopulaçãoResidentepessoas2022;Densidadedemográficahab_km2_2022;Escolarização6_14anosporcentagem2010;IDHM2010;Mortalidadeinfantilóbitospormilnascidosvivos2022;Totalreceitasbrutasrealizadasreais2023;Totaldespesasbrutasempenhadasreais2023;PIBpercapitareais2021
Pajeú do Piauí;2207355;pajeuense;CLÁUDIO PEREIRA DOS SANTOS;986.961;3000;3.04;98;0.559;;29534799.9;24789438.35;15392.7
Palmeira do Piauí;2207405;palmeirino;JOAO DA CRUZ ROSAL DA LUZ;2024.02;4952;2.45;97.4;0.557;39.47;31953898.7;28362722.54;28128.29
Palmeirais;2207504;palmeirense;JOSÉ BALTAZAR DE OLIVEIRA;1493.764;13264;8.88;98.3;0.562;20;74577328.32;70081613.03;9478.06
Paquetá;2207553;paquetaense;ANDERSON CLAYTON DA SILVA BARROS;432.572;3813;8.81;96.9;0.509;;36419122.96;30919250.99;11253.3
Parnaguá;2207603;parnaguaense;JONDSON CASTRO FE;3428.811;10103;2.95;96.4;0.575;;46427069.46;44305612.3;10991.62
Parnaíba;2207702;parnaibano;FRANCISCO DE ASSIS DE MORAES SOUZA;436.907;162159;371.15;97.5;0.687;17.8;652196819.03;645562649.5;19296.04
Passagem Franca do Piauí;2207751;passagemfranquense;SAULO VINICIUS RODRIGUES SATURNINO;643.226;4135;6.43;98.9;0.561;25;35479070.94;35350863.74;11257.84
Patos do Piauí;2207777;patoense;JOAQUIM LOPES DOS REIS NETO;801.403;5425;6.77;98.4;0.563;20;29642314.02;28092719.01;10066.77
Pau D'Arco do Piauí;2207793;paudarcopiense;JOSENILTON DE SOUSA RODRIGUES BACELAR;430.023;3880;9.02;98.1;0.514;;27378622.74;24489620.75;8230.14
Paulistana;2207801;paulistanense;JOAQUIM JULIO COELHO;1941.111;21055;10.85;97.9;0.6;27.44;103121772.14;103882768.2;13006.31
Pavussu;2207850;pavussuense;JULIMAR BARBOSA DA SILVA;1090.697;3628;3.33;97.8;0.526;;24996431.76;23250353.99;10293.08
Pedro II;2207900;pedrosegundense;ELISABETE RODRIGUES DE OLIVEIRA;1544.413;37894;24.54;97.3;0.571;25.52;152227004.61;150840026.3;9952.46
Pedro Laurentino;2207934;pedro laurentinense;LEONCIO LEITE DE SOUSA;870.614;2458;2.82;97.2;0.562;40;24097431.11;21338958.69;12278.29
Nova Santa Rita;2207959;Santaritense;HELI MARQUES DE CARVALHO;909.734;4076;4.48;97.1;0.554;17.86;25803602.21;24789484.62;10002.45
Picos;2208007;picoense;GIL MARQUES DE MEDEIROS;577.284;83090;143.93;98.3;0.698;9.91;331577383.93;318246184.6;24676.75
Pimenteiras;2208106;pimenteirense;MARIA LUCIA DE LACERDA;4562.58;11341;2.49;98.9;0.566;31.25;57586618.87;50597241.27;8804.35
Pio IX;2208205;piononense;SILAS NORONHA MOTA;1948.142;17613;9.04;98.8;0.564;23.04;74130688.24;72211116.28;10957.54
Piracuruca;2208304;piracuruquense;FRANCISCO DE ASSIS DA SILVA MELO;2368.935;28846;12.18;94.8;0.596;15.75;108152368.33;99830093.34;12556.04
Piripiri;2208403;piripiriense;JOVENILIA ALVES DE OLIVEIRA MONTEIRO;1407.192;65538;46.57;97.3;0.635;14.32;269406875.01;257270876.8;14362.92
Porto;2208502;portuense;DOMINGOS BACELAR DE CARVALHO;253.113;12052;47.62;98;0.549;11.83;65613948.73;63021841.12;9374.27
Porto Alegre do Piauí;2208551;porto alegrense;MARCIO NEIVA MARTINS;1168.044;2364;2.02;98.9;0.563;83.33;28899507.73;26331397.94;14373.9
Prata do Piauí;2208601;pratense;ACELINO MENDES DE MOURA;196.787;3042;15.46;98.5;0.565;;24807496.75;22154406.6;8759.54
Queimada Nova;2208650;queimadanovense;RAIMUNDO JULIO COELHO;1283.369;8738;6.81;99.3;0.515;10.1;47265539.36;38403496.13;28037.27
